,This study,,Journal paper,,Journal paper,,Journal paper,,Nopol website,,Nopol website,,Nopol website,
,Prob All Mut,Number of failed held-out TC,GenProg,Number of failed held-out TC,TRP,Number of failed held-out TC,PAR,Number of failed held-out TC,NopolPC May2015,Pass Held Out Test Suite,NopolC May 2015,Pass Held Out Test Suite,Nopol March 2017,Number of failed held-out TC
Evosuite 30 mins,,,,,,,,,,,,,,
Closure 10,"sqncEx(795,797)",0,No patch found,,No patch found,,No patch found,,No patch found,,No patch found,,Found: https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#closure-10,0
,"sqncEx(795,799)",0,,,,,,,,,,,,
Closure 18,erm(539),0,No patch found,,No patch found,,No patch found,,No patch found,,No patch found,,Found: https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#closure-18,0
Math 2,fr(80),0,No patch found,,No patch found,,MethodReplace: https://github.com/ProgramRepair/JavaRepair-results/blob/master/PARPatches/math2_Seed6_MethodReplacer_80_variant283patch.diff,0,No patch found,,No patch found,,Found: https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#math-2,0
Time 19,"a(363,364)",0,Append: https://github.com/ProgramRepair/JavaRepair-results/blob/master/GenProgPatches/time19_Seed20_a_354_364_patch.diff,0,Append: https://github.com/ProgramRepair/JavaRepair-results/blob/master/TrpAutoRepairPatches/time19_Seed20_a_354_364_patch.diff,0,No patch found,,No patch found,,No patch found,,Found: https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#time-19,0
,"r(363,364)",0,,,,,,,,,,,, 
Chart 1,"sqncEx(601,12)",2,Replace: https://github.com/ProgramRepair/JavaRepair-results/blob/master/GenProgPatches/chart1_Seed17_r_601_1_patch.diff,1,Delete: https://github.com/ProgramRepair/JavaRepair-results/blob/master/TrpAutoRepairPatches/chart1_Seed1_d_603_patch.diff,1,ExpressAdd: https://github.com/ProgramRepair/JavaRepair-results/blob/master/PARPatches/chart1_Seed20_ExpressionAdd_601_variant139patch.diff,1,No patch found,,No patch found,,No patch found, 
,d(602),1,Delete: https://github.com/ProgramRepair/JavaRepair-results/blob/master/GenProgPatches/chart1_Seed1_d_601_patch.diff,1,Replace: https://github.com/ProgramRepair/JavaRepair-results/blob/master/TrpAutoRepairPatches/chart1_Seed5_r_603_12_patch.diff,1,ExpressReplace: https://github.com/ProgramRepair/JavaRepair-results/blob/master/PARPatches/chart1_Seed3_ExpressionReplace_601_variant151patch.diff,1,,,,,, 
,d(601),1,Replace: https://github.com/ProgramRepair/JavaRepair-results/blob/master/GenProgPatches/chart1_Seed20_r_603_177_patch.diff,1,Delete: https://github.com/ProgramRepair/JavaRepair-results/blob/master/TrpAutoRepairPatches/chart1_Seed7_d_601_patch.diff,1,, ,,,,,, 
,"sqncEx(602,0)",1,Delete: https://github.com/ProgramRepair/JavaRepair-results/blob/master/GenProgPatches/chart1_Seed3_d_603_patch.diff,1,Delete: https://github.com/ProgramRepair/JavaRepair-results/blob/master/TrpAutoRepairPatches/chart1_Seed9_d_602_patch.diff,1,,,,,,,, 
